Tempo (s),Uso do CPU (%),Uso de RAM (%)
66.4000000000004,0.6,12.0
66.6000000000004,0.6,12.0
66.80000000000041,0.0,12.0
67.00000000000041,0.0,12.0
67.20000000000041,0.0,12.0
67.40000000000042,1.9,12.0
67.60000000000042,0.0,12.0
67.80000000000042,0.0,12.0
68.00000000000043,0.0,12.0
68.20000000000043,0.0,12.0
68.40000000000043,0.6,12.0
68.60000000000043,0.0,12.0
68.80000000000044,0.0,12.0
69.00000000000044,0.6,12.0
69.20000000000044,0.0,12.0
69.40000000000045,0.0,12.0
69.60000000000045,0.0,12.0
69.80000000000045,0.0,12.0
70.00000000000045,0.0,12.0
70.20000000000046,0.6,12.0
70.40000000000046,0.0,12.0
70.60000000000046,0.0,12.0
70.80000000000047,0.6,12.0
71.00000000000047,0.6,12.0
71.20000000000047,0.0,12.0
71.40000000000047,0.0,12.0
71.60000000000048,0.0,12.0
71.80000000000048,0.0,12.0
72.00000000000048,0.6,12.0
72.20000000000049,0.0,12.0
72.40000000000049,0.0,12.0
72.60000000000049,0.0,12.0
72.8000000000005,1.3,12.0
73.0000000000005,1.2,12.0
73.2000000000005,0.0,12.0
73.4000000000005,0.0,12.0
73.6000000000005,0.0,12.0
73.80000000000051,0.0,12.0
74.00000000000051,0.0,12.0
74.20000000000051,0.0,12.0
74.40000000000052,1.9,12.0
74.60000000000052,0.0,12.0
74.80000000000052,0.6,12.0
75.00000000000053,0.0,12.0
75.20000000000053,0.0,12.0
75.40000000000053,0.0,12.0
75.60000000000053,0.0,12.0
75.80000000000054,0.0,12.0
76.00000000000054,6.2,12.0
76.20000000000054,0.0,12.0
76.40000000000055,0.0,12.0
76.60000000000055,0.0,12.0
76.80000000000055,0.0,12.0
77.00000000000055,0.0,12.0
77.20000000000056,0.0,12.0
77.40000000000056,0.6,12.0
77.60000000000056,0.0,12.0
77.80000000000057,0.0,12.0
78.00000000000057,0.6,12.0
78.20000000000057,3.7,12.0
78.40000000000057,0.0,12.0
78.60000000000058,0.0,12.0
78.80000000000058,1.9,12.0
79.00000000000058,0.0,12.0
79.20000000000059,0.6,12.0
79.40000000000059,1.8,12.0
79.60000000000059,0.0,12.0
79.8000000000006,0.6,12.0
80.0000000000006,0.0,12.0
80.2000000000006,0.6,12.0
80.4000000000006,0.0,12.0
80.6000000000006,0.0,12.0
80.80000000000061,0.0,12.0
81.00000000000061,0.6,12.0
81.20000000000061,0.6,12.0
81.40000000000062,0.6,12.0
81.60000000000062,0.0,12.0
81.80000000000062,0.0,12.0
82.00000000000063,1.3,12.0
82.20000000000063,0.0,12.0
82.40000000000063,0.0,12.0
82.60000000000063,0.0,12.0
82.80000000000064,0.0,12.0
83.00000000000064,0.6,12.0
83.20000000000064,0.0,12.0
83.40000000000065,0.0,12.0
83.60000000000065,0.0,12.0
83.80000000000065,0.0,12.0
84.00000000000065,0.0,12.0
84.20000000000066,0.0,12.0
84.40000000000066,0.0,12.0
84.60000000000066,0.6,12.0
84.80000000000067,0.0,12.0
85.00000000000067,1.9,12.0
85.20000000000067,0.6,12.0
85.40000000000067,0.0,12.0
85.60000000000068,0.0,12.0
85.80000000000068,0.0,12.0
86.00000000000068,0.0,12.0
86.20000000000068,0.0,12.0
86.40000000000069,0.0,12.0
86.60000000000069,0.6,12.0
86.8000000000007,0.0,12.0
87.0000000000007,0.0,12.0
87.2000000000007,0.0,12.0
87.4000000000007,0.0,12.0
87.6000000000007,0.0,12.0
87.80000000000071,0.0,12.0
88.00000000000071,0.0,12.0
88.20000000000071,0.0,12.0
88.40000000000072,0.0,12.0
88.60000000000072,0.0,12.0
88.80000000000072,2.5,12.0
89.00000000000072,0.0,12.0
89.20000000000073,0.6,12.0
89.40000000000073,0.6,12.0
89.60000000000073,0.0,12.0
89.80000000000074,0.0,12.0
90.00000000000074,0.0,12.0
90.20000000000074,0.0,12.0
90.40000000000074,0.0,12.0
90.60000000000075,0.0,12.0
90.80000000000075,20.0,12.0
91.00000000000075,0.0,12.0
91.20000000000076,0.0,12.0
91.40000000000076,0.0,12.0
91.60000000000076,0.0,12.0
91.80000000000076,0.6,12.0
92.00000000000077,0.0,12.0
92.20000000000077,0.6,12.0
92.40000000000077,0.6,12.0
92.60000000000078,0.0,12.0
92.80000000000078,0.0,12.0
93.00000000000078,3.1,11.7
93.20000000000078,0.0,11.7
93.40000000000079,0.0,11.7
93.60000000000079,0.0,11.7
93.8000000000008,0.0,11.7
94.0000000000008,0.0,11.7
94.2000000000008,0.0,11.7
94.4000000000008,0.0,11.7
94.6000000000008,0.6,11.7
94.80000000000081,0.6,11.7
95.00000000000081,0.0,11.7
95.20000000000081,0.0,11.7
95.40000000000082,0.0,11.7
95.60000000000082,0.6,11.7
95.80000000000082,1.9,11.7
96.00000000000082,0.0,11.7
96.20000000000083,0.6,11.7
96.40000000000083,0.0,11.7
96.60000000000083,0.0,11.7
96.80000000000084,0.6,11.7
